Name ,Lines of Code,Bugs,Vulnerabilities,Code Smells,Security Hotspots,Coverage,Duplications,1/2 hit,Hit,Miss,Note
CWE111_Unsafe_JNI,263,0,1,84,3,0,0.83,,,x,
CWE114_Process_Control,1206,5,1,195,18,0,0.538,,,x,
CWE15_External_Control_of_System_or_Configuration_Setting,65173,84,109,5575,617,0,0.678,,,x,
CWE193_Off_by_One_Error,3058,15,1,551,52,0,0.206,,,x,
CWE209_Information_Leak_Error,2250,10,18,281,35,0,0.102,,,x,
CWE226_Sensitive_Information_Uncleared_Before_Release,3666,5,1,471,116,0,0.854,,,x,
CWE248_Uncaught_Exception,231,0,1,83,2,0,0.822,,,x,
CWE252_Unchecked_Return_Value,2855,22,1,382,18,0,0.791,,,x,
CWE253_Incorrect_Check_of_Function_Return_Value,2957,5,1,382,18,0,0.789,,,x,
CWE256_Plaintext_Storage_of_Password,11339,40,12,1459,289,0,0.748,,,x,
CWE259_Hard_Coded_Password,13837,21,38,1442,280,0,0.58,,x,,
CWE315_Plaintext_Storage_in_Cookie,4355,20,154,901,431,0,0.257,,x,,
CWE321_Hard_Coded_Cryptographic_Key,3814,7,10,693,183,0,0.554,,x,,
CWE325_Missing_Required_Cryptographic_Step,2169,10,1,392,133,0,0.441,,x,,
CWE327_Use_Broken_Crypto,2565,10,35,455,133,0,0.722,,x,,
CWE328_Reversible_One_Way_Hash,2717,15,1,621,199,0,0.701,,x,,
CWE329_Not_Using_Random_IV_with_CBC_Mode,1544,5,50,258,67,0,0.641,,,x,
CWE336_Same_Seed_in_PRNG,1018,5,1,181,18,0,0.197,,,x,
CWE338_Weak_PRNG,1679,27,1,280,69,0,0.533,,x,,
CWE378_Temporary_File_Creation_With_Insecure_Perms,4050,54,50,446,18,0,0.87,,,x,
CWE379_Temporary_File_Creation_in_Insecure_Dir,5373,51,50,525,18,0,0.903,,,x,
CWE382_Use_of_System_Exit,1581,10,1,339,35,0,0.511,,,x,
CWE383_Direct_Use_of_Threads,890,17,1,157,17,0,0.618,,,x,
CWE390_Error_Without_Action,5222,10,1,799,35,0,0.737,,,x,
CWE395_Catch_NullPointerException,1408,5,1,224,18,0,0.373,,,x,
CWE397_Throw_Generic,331,0,1,92,5,0,0.761,x,,,
CWE398_Poor_Code_Quality,7848,57,1,1138,138,0,0.317,,,x,
CWE404_Improper_Resource_Shutdown,674,4,1,128,8,0,0.746,,,x,
CWE459_Incomplete_Cleanup,3948,42,33,461,35,0,0.707,x,,,
CWE470_Unsafe_Reflection,41999,84,109,6124,617,0,0.554,,,x,
CWE476_NULL_Pointer_Dereference,17087,613,46,2239,211,0,0.167,,x,,
CWE477_Obsolete_Functions,3380,20,1,677,118,0,0.059,x,,,
CWE478_Missing_Default_Case_in_Switch,1506,5,1,212,18,0,0.503,,x,,
CWE481_Assigning_Instead_of_Comparing,1180,5,1,288,18,0,0.359,,x,,
CWE482_Comparing_Instead_of_Assigning,1180,5,1,254,18,0,0.359,,,x,
CWE483_Incorrect_Block_Delimitation,1363,5,1,309,20,0,0.54,,x,,
CWE484_Omitted_Break_Statement_in_Switch,1555,5,1,229,18,0,0.647,,x,,
CWE486_Compare_Classes_by_Name,1326,5,1,211,18,0,0.383,,,x,
CWE491_Object_Hijack,246,0,1,84,3,0,0.75,,,x,
CWE499_Sensitive_Data_Serializable,333,0,1,92,5,0,0.772,,,x,
CWE500_Public_Static_Field_Not_Final,226,0,3,85,3,0,0.747,x,,,
CWE506_Embedded_Malicious_Code,10507,19,18,1134,184,0,0.674,,,x,
CWE510_Trapdoor,8543,12,1,814,214,0,0.782,,,x,
CWE511_Logic_Time_Bomb,3141,15,1,389,52,0,0.203,,,x,
CWE523_Unprotected_Cred_Transport,2162,5,1,351,18,0,0.742,,,x,
CWE526_Info_Exposure_Environment_Variables,1564,10,1,295,69,0,0.311,,x,,
CWE533_Info_Exposure_Server_Log,1491,5,1,238,18,0,0.523,,,x,Does_not_exist
CWE534_Info_Exposure_Debug_Log,1557,5,1,300,18,0,0.623,,,x,Does_not_exist
CWE535_Info_Exposure_Shell_Error,2294,5,50,368,18,0,0.73,,,x,
CWE539_Information_Exposure_Through_Persistent_Cookie,935,5,50,207,116,0,0.209,,,x,
CWE546_Suspicious_Comment,3581,30,1,760,86,0,0.648,,x,,
CWE549_Missing_Password_Masking,1033,5,1,240,18,0,0.732,,,x,
CWE561_Dead_Code,234,0,1,85,3,0,0.751,,,x,
CWE563_Unused_Variable,13832,149,5,2202,223,0,0.081,x,,,
CWE566_Authorization_Bypass_Through_SQL_Primary,7548,7,10,656,40,0,0.721,,,x,
CWE568_Finalize_Without_Super,472,4,1,120,5,0,0.78,,x,,
CWE570_Expression_Always_False,747,2,1,119,20,0,0.418,x,,,
CWE571_Expression_Always_True,748,2,1,120,20,0,0.418,x,,,
CWE572_Call_to_Thread_run_Instead_of_start,1261,22,1,227,18,0,0.33,,x,,
CWE579_Non_Serializable_in_Session,227,1,3,79,1,0,0.817,,x,,
CWE580_Clone_Without_Super,254,0,1,89,2,0,0.691,,x,,
CWE581_Object_Model_Violation,360,2,1,92,5,0,0.727,,x,,
CWE582_Array_Public_Final_Static,230,0,2,88,3,0,0.749,,x,,
CWE584_Return_in_Finally_Block,1459,22,1,224,18,0,0.342,,x,,
CWE585_Empty_Sync_Block,307,0,1,98,2,0,0.659,,,x,
CWE586_Explicit_Call_to_Finalize,1484,22,1,229,18,0,0.478,,x,,
CWE597_Wrong_Operator_String_Comparison,3387,22,1,410,67,0,0.855,,x,,
CWE598_Information_Exposure_QueryString,1033,5,1,240,18,0,0.727,,,x,
CWE600_Uncaught_Exception_in_Servlet,239,2,1,81,1,0,0.798,,,x,
CWE601_Open_Redirect,43812,63,126,6934,426,0,0.661,,x,,
CWE605_Multiple_Binds_Same_Port,2750,5,1,277,116,0,0.788,,,x,
CWE606_Unchecked_Loop_Condition,95147,240,133,9478,841,0,0.728,,,x,
CWE607_Public_Static_Final_Mutable,250,0,2,84,3,0,0.713,,x,,
CWE609_Double_Checked_Locking,544,2,1,104,2,0,0.446,,x,,
CWE613_Insufficient_Session_Expiration,1240,5,1,210,18,0,0.519,,,x,
CWE614_Sensitive_Cookie_Without_Secure,1131,5,50,178,84,0,0.19,,x,,
CWE615_Info_Exposure_by_Comment,1099,5,1,263,18,0,0.193,,,x,
CWE617_Reachable_Assertion,1547,10,1,300,35,0,0.118,,,x,
CWE667_Improper_Locking,239,0,1,87,2,0,0.857,,,x,
CWE674_Uncontrolled_Recursion,280,0,1,84,3,0,0.668,,,x,
CWE681_Incorrect_Conversion_Between_Numeric_Types,9748,15,1,1160,199,0,0.862,,,x,
CWE690_NULL_Deref_From_Return,33495,392,89,4552,321,0,0.417,,,x,
CWE698_Redirect_Without_Exit,903,5,1,207,18,0,0.215,,,x,
CWE759_Unsalted_One_Way_Hash,1065,5,1,270,67,0,0.364,x,,,
CWE760_Predictable_Salt_One_Way_Hash,1148,22,1,354,84,0,0.38,x,,,
CWE764_Multiple_Locks,334,0,1,101,2,0,0.784,,,x,
CWE765_Multiple_Unlocks,334,0,1,101,2,0,0.773,,,x,
CWE772_Missing_Release_of_Resource,378,2,1,87,5,0,0.876,,,x,
CWE775_Missing_Release_of_File_Descriptor_or_Handle,339,3,1,88,3,0,0.761,,,x,
CWE78_OS_Command_Injection,50543,84,153,5650,617,0,0.618,,x,,
CWE80_XSS,68967,126,208,9196,852,0,0.562,,x,,
CWE81_XSS_Error_Message,34317,63,82,5332,426,0,0.563,x,,,
CWE832_Unlock_Not_Locked,330,0,1,101,2,0,0.796,,,x,
CWE833_Deadlock,854,20,1,157,4,0,0.315,,,x,
CWE835_Infinite_Loop,417,2,1,95,7,0,0.491,,,x,
CWE83_XSS_Attribute,34317,63,126,4531,426,0,0.558,,x,,
CWE90_LDAP_Injection,86377,75,153,8358,617,0,0.723,,x,,
CWE129_Improper_Validation_of_Array_Index,525477,3578,1352,55709,4685,0,0.719,,,x,
CWE197_Numeric_Truncation_Error,126861,231,300,14456,1734,0,0.566,,,x,
CWE319_Cleartext_Tx_Sensitive_Info,109232,200,735,7849,1569,0,0.784,,,x,
CWE369_Divide_by_Zero,352440,3250,776,30335,3444,0,0.709,,,x,
CWE396_Catch_Generic_Exception,2432,10,1,316,35,0,0.567,x,,,
CWE643_Xpath_Injection,114583,270,244,12654,841,0,0.762,,,x,
CWE789_Uncontrolled_Mem_Alloc,153685,388,714,22260,2102,0,0.533,,,x,
CWE23_Relative_Path_Traversal,111506,104,220,7121,617,0,0.76,,,x,
CWE113_HTTP_Response_Splitting,246522,1080,3435,26913,5931,0,0.659,,,x,
CWE134_Uncontrolled_Format_String,126292,360,200,13408,1442,0,0.712,,,x,
CWE190_Integer_Overflow,735457,2450,1827,83943,7757,0,0.682,,,x,
CWE191_Integer_Underflow,588606,1960,1461,66273,6205,0,0.687,,,x,
CWE36_Absolute_Path_Traversal,101892,107,220,6531,617,0,0.753,,,x,
CWE89_SQL_Injection,754924,1299,1219,53095,9484,0,0.818,x,,,
Total,4821846,18180,14747,499256,57013,0,0.590414414,12,31,68,
